nome,descricao,area
LOC,"O LOC é o airbnb da moda. Já imaginou usar a peça que você quiser no momento, curtir sem preocupações e devolvê-la sem gastar muito? No LOC, você pode seguir as usuárias mais estilosas, usar a tendência do momento, as peças mais lindas e desejadas (muitas vezes inacessíveis para compra), ou ganhar dinheiro com peças que já são de seu armário.",Moda e Vestuário
LTJ Tecnologia/POWERDOC,"Grandes instituições de diversos segmentos enfrentam dificuldades na redução de tempos e custos, impactando na experiência dos usuários envolvidos. Assim, muitos processos e operações possuem variabilidades e desvios que podem prejudicar a qualidade e segurança do serviço ou produto. O PowerDoc, no seu negócio, mapeia automaticamente qualquer processo de qualquer instituição com uso de Inteligência Artificial, identificando ineficiências e desvios dos processos estabelecidos.",Tecnologia da Informação
La piel negra,"Atelier de costura ancestral com o propósito de vestir e incluir corpos reais no circuito da moda íntima com as Lingeries artesanais feitas sob medida. É um negócio de moda e impacto social focado também na confecção de roupas de Asè, focadas nos asòs ( vestimentas ) de Orixás e divindades da região de matriz africana",Moda e Vestuário
Linknet,"A LinkNet é uma startup inovadora que nasceu com o propósito de revolucionar o mercado de internet e atendimento virtual. Além de ser um provedor de alta qualidade, oferecemos soluções de inteligência artificial para otimizar o suporte ao cliente, tornando o atendimento mais ágil e eficiente. Nossa missão é conectar pessoas e empresas à tecnologia de forma inteligente, proporcionando uma experiência única e personalizada em cada interação.",Telecomunicações
MOBTEX SOFTWARES,"Olimpíadas APP é a plataforma gamificada por trás das maiores Olimpíadas do Conhecimento do país. Com infraestrutura que escala para milhões de usuários simultâneos, oferece gestão 360º com provas online/offline, simulados, leitura automatizada por visão computacional, IA, módulos para estudantes e escolas, etc. Temos expertise em jogos 2D/3D, distribuição e gestão de eventos educacionais de missão crítica.",Educação
MalhaCão Pet,"A MalhaCão oferece uma solução inovadora para cães domésticos com uma esteira mecânica projetada especificamente para eles, comprovada e validade por centenas de clientes. Com mais de 50% dos cães nos Estados Unidos acima do peso, há uma grande necessidade de exercício indoor para animais de estimação, e a MalhaCão tem um potencial significativo de escala no mercado pet. Investir na MalhaCão é investir na saúde e felicidade do seu animal de estimação. Junte-se a nós nessa missão!",Saúde e Bem Estar
Milieco,"Milieco e uma solução inovadora que gera impacto socioambiental de economia circular , ao transformar fardamentos Inservíveis em mochilas ecológicas e outros brindes",Moda e Vestuário
OrçaAqui,"A OrçaAqui é o seu portal de compras online, conectando compradores e fornecedores de materiais de construção e suprimentos corporativos. Com uma ampla rede de mais de 2.300 fornecedores, oferecemos uma plataforma ágil, transparente e segura para cotações de preços, facilitando o processo de compra e proporcionando economia de tempo e dinheiro. Encontre produtos de qualidade, realize cotações em poucos cliques e receba os materiais em até 48 horas.",Construção e Imóveis
P360br,"A P360BR é sua passagem para o sucesso na web! Com nossa plataforma, sua empresa ganha visibilidade máxima nos principais mapas e listagens online. Conecte-se com mais clientes, aumente o tráfego para seu website e receba mais ligações para sua loja. Com planos para todos os tamanhos de negócio, não deixe sua estratégia de crescimento para depois. Junte-se a nós e faça sua empresa brilhar na internet!",Gestão e Consultoria
Pagode Por Elas,"A Pagode Por Elas é a plataforma oficial das mulheres do pagode baiano. Atuando com conteúdo e projetos, estamos construindo a nova década do pagodão, dessa vez feito por e para elas. Através de 4 frentes, proporcionamos diferentes impactos que também se cruzam com o objetivo de ampliar os resultados. São elas o canal de conteúdo, entretenimento, selo musical e educação.",Comunicação e Mídia
